typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","233.93",,"233.93","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","11097.13",,"11097.13","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","08","Fruit and nuts, edible; peel of citrus fruit or melons","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","609.13",,"609.13","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","08","Fruit and nuts, edible; peel of citrus fruit or melons","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1509.3",,"1509.3","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","09","Coffee, tea, mate and spices","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3118.56",,"3118.56","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","09","Coffee, tea, mate and spices","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1068.72",,"1068.72","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","24","Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","36496.73",,"36496.73","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","24","Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","43691.79",,"43691.79","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6387.08",,"6387.08","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9373.85",,"9373.85","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","62214.11",,"62214.11","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","408080.91",,"408080.91","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","37404.28",,"37404.28","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","40","Rubber and articles thereof","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","18587.72",,"18587.72","4","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","40","Rubber and articles thereof","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9982.41",,"9982.41","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2439.18",,"2439.18","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","14167.1",,"14167.1","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","399.5",,"399.5","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","09","Coffee, tea, mate and spices","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1871.15",,"1871.15","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","25652866.14",,"25652866.14","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5666.04",,"5666.04","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","28252.21",,"28252.21","4","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1353777.84",,"1353777.84","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","39","Plastics and articles thereof","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1519.36",,"1519.36","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","40","Rubber and articles thereof","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4583.79",,"4583.79","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","40","Rubber and articles thereof","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5904.13",,"5904.13","0","false","true",
"C","M","20240101","2024","1","202401","51","ARM","Armenia","FM","Foreign Import","0","W00","World","842","USA","USA","H6","HS","true","44","Wood and articles of wood; wood charcoal","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","18550.73",,"18550.73","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1212.758","1212.758","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","2000","Water","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"85938.176","85938.176","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"54919.741","54919.741","4","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","2000","Water","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"579354.701","579354.701","4","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"133837.631","133837.631","4","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","2000","Water","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"14677688.971","14677688.971","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"19437.643","19437.643","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"57918.858","57918.858","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","08","Fruit and nuts, edible; peel of citrus fruit or melons","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"114227.907","114227.907","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","08","Fruit and nuts, edible; peel of citrus fruit or melons","2","false","C00","TOTAL CPC","0","2000","Water","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"9643256.687","9643256.687","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","08","Fruit and nuts, edible; peel of citrus fruit or melons","2","false","C00","TOTAL CPC","0","3100","Railway","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"26816.245","26816.245","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","08","Fruit and nuts, edible; peel of citrus fruit or melons","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"61431.981","61431.981","4","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","09","Coffee, tea, mate and spices","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"50212.484","50212.484","4","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","09","Coffee, tea, mate and spices","2","false","C00","TOTAL CPC","0","2000","Water","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"4207939.493","4207939.493","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","09","Coffee, tea, mate and spices","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"395.562","395.562","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","24","Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"14726589.621","14726589.621","0","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","24","Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2454249.59","2454249.59","4","false","true",
"C","M","20240101","2024","1","202401","124","CAN","Canada","FM","Foreign Import","0","W00","World","156","CHN","China","H6","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2133826.08","2133826.08","4","false","true",
