typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20250101","2025","1","202501","51","ARM","Armenia","DX","Domestic Export","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"412.28","412.28","0","false","true",
"C","M","20250101","2025","1","202501","51","ARM","Armenia","FM","Foreign Import","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","21765.13",,"21765.13","0","false","true",
"C","M","20250101","2025","1","202501","68","BOL","Bolivia (Plurinational State of)","DX","Domestic Export","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"5042.67","5042.67","0","false","true",
"C","M","20250101","2025","1","202501","51","ARM","Armenia","FM","Foreign Import","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1980682.56",,"1980682.56","0","false","true",
"C","M","20250101","2025","1","202501","68","BOL","Bolivia (Plurinational State of)","DX","Domestic Export","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"17148929.54","17148929.54","0","false","true",
"C","M","20250101","2025","1","202501","68","BOL","Bolivia (Plurinational State of)","RM","Re-import","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","46475","43284","46475","4","false","true",
"C","M","20250101","2025","1","202501","100","BGR","Bulgaria","RM","Re-import","0","W00","World","0","W00","World","H6","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","21227.569",,"21227.569","0","false","true",
"C","M","20250101","2025","1","202501","36","AUS","Australia","RM","Re-import","0","W00","World","0","W00","World","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1105.935","1027.615","1105.935","0","false","true",
"C","M","20250101","2025","1","202501","51","ARM","Armenia","DX","Domestic Export","0","W00","World","0","W00","World","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"21601.02","21601.02","0","false","true",
"C","M","20250101","2025","1","202501","51","ARM","Armenia","FM","Foreign Import","0","W00","World","0","W00","World","H6","HS","true","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","2","false","C00","TOTAL CPC","0","1000","Air","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","39371.62",,"39371.62","0","false","true",
