date_key,country_code,flow_code,clearence_code,mot_code,value,product_code
20250101,CAN,FM,C00,2000,32406919.485,04
20250101,CAN,RX,C00,2000,650232.775,04
20250101,CAN,FM,C00,3100,2952353.747,04
20250101,CAN,DX,C00,3200,39576268.578,04
20250101,CAN,FM,C00,3200,97289481.47,04
20250101,CAN,RM,C00,3200,196.613,04
20250101,CAN,RX,C00,3200,302063.629,04
20250101,CAN,DX,C00,1000,164500.881,07
20250101,CAN,FM,C00,1000,7325308.056,07
20250101,CAN,RM,C00,1000,1710.468,07
20250101,CAN,DX,C00,2000,212409280.522,07
20250101,CAN,FM,C00,2000,38427136.363,07
20250101,CAN,RX,C00,2000,2873157.416,07
20250101,CAN,DX,C00,3100,6866458.715,07
20250101,CAN,FM,C00,3100,2948691.039,07
20250101,CAN,DX,C00,3200,209267639.394,07
20250101,CAN,FM,C00,3200,340236611.794,07
20250101,CAN,RM,C00,3200,255997.019,07
20250101,CAN,RX,C00,3200,44966485.808,07
20250101,CAN,DX,C00,1000,38004.763,08
20250101,CAN,FM,C00,1000,7958932.897,08
20250101,CAN,RM,C00,1000,0.695,08
20250101,CAN,RX,C00,1000,10920.038,08
20250101,CAN,DX,C00,2000,21056071.075,08
20250101,CAN,FM,C00,2000,109400045.8,08
20250101,CAN,RX,C00,2000,134463.481,08
20250101,CAN,DX,C00,3100,119539.613,08
20250101,CAN,FM,C00,3100,4045075.259,08
20250101,CAN,RX,C00,3100,129955.265,08
20250101,CAN,DX,C00,3200,39529218.9,08
20250101,CAN,FM,C00,3200,439464797.47,08
20250101,CAN,RM,C00,3200,1948686.337,08
20250101,CAN,RX,C00,3200,4346301.718,08
20250101,CAN,DX,C00,1000,154116.493,09
20250101,CAN,FM,C00,1000,2940231.796,09
20250101,CAN,RM,C00,1000,1696.573,09
20250101,CAN,RX,C00,1000,116862.057,09
20250101,CAN,DX,C00,2000,5299365.818,09
20250101,CAN,FM,C00,2000,141334134.154,09
20250101,CAN,RX,C00,2000,1055401.075,09
20250101,CAN,FM,C00,3100,24423537.041,09
20250101,CAN,RX,C00,3100,906973.868,09
20250101,CAN,DX,C00,3200,57271552.988,09
20250101,CAN,FM,C00,3200,68018051.82,09
20250101,CAN,RM,C00,3200,1150189.62,09
20250101,CAN,RX,C00,3200,16436980.991,09
20250101,CAN,DX,C00,1000,26927205.6,12
20250101,CAN,FM,C00,1000,8165968.987,12
20250101,CAN,RM,C00,1000,590.535,12
20250101,CAN,RX,C00,1000,194156.865,12
20250101,CAN,DX,C00,2000,606963251.171,12
20250101,CAN,FM,C00,2000,19304774.957,12
20250101,CAN,RM,C00,2000,69303.824,12
20250101,CAN,RX,C00,2000,190845.699,12
20250101,CAN,DX,C00,3100,15406576.924,12
20250101,CAN,FM,C00,3100,7213252.261,12
20250101,CAN,DX,C00,3200,74380793.718,12
